"","date","Average.Use"
"1",2014-06-15,659.380390991274
"2",2014-07-15,664.816391416165
"3",2014-08-15,639.839646270519
"4",2014-09-15,592.714464561526
"5",2014-10-15,538.125420282314
"6",2014-11-15,390.917793103786
"7",2014-12-15,303.42252099884
"8",2015-01-15,288.605549231911
"9",2015-02-15,294.223662305742
"10",2015-03-15,370.731548236812
"11",2015-04-15,489.585684578024
"12",2015-05-15,248.776375620933
"13",2015-06-15,752.370984954893
"14",2015-07-15,406.562821766209
"15",2015-08-15,670.348085637965
"16",2015-09-15,677.099523113648
"17",2015-10-15,274.514739729066
"18",2015-11-15,185.501625049593
"19",2015-12-15,253.788122638779
"20",2016-01-15,161.925402370956
